Author Name,Sex
Archishman Chakraborty,1
Ujjayant Chakravorty,1
James A. Chalfant,1
Aaron Chalfin,1
Frank Chaloupka,1
Gary Chamberlain,1
Richard M. Chamberlain,1
Christopher P. Chambers,1
Edward J. Chambers,1
Marcus J. Chambers,1
Christophe Chamley,1
Bruce Champ,1
Paul Champsaur,1
Hei Sing (Ron) Chan,1
K. Hung Chan,1
Kenneth S. Chan,1
Marc K. Chan,1
Tat Y. Chan,1
William Chan,1
Yeung Lewis Chan,1
Parkash Chander,1
Dana Chandler,1
Amitabh Chandra,1
Eric Chaney,1
Thomas Chaney,1
Fwu-Ranq Chang,1
Howard F. Chang,1
P. H. Kevin Chang,1
Roberto Chang,1
Winston W. Chang,1
Won Chang,1
Yang-Ming Chang,1
Yongsung Chang,1
Hung-Po Chao,1
John C. Chao,1
"Henry W. Chappell, Jr.",1
Anusha Chari,0
Varadarajan V. Chari,1
David Charles,1
Kerwin Kofi Charles,1
Andrew Charlton,1
Abraham Charnes,1
Gary Charness,1
Richard X. Chase,1
Sylvain Chassang,1
Kalyan Chatterjee,1
Satyajit Chatterjee,1
Shurojit Chatterji,1
Raghabendra Chattopadhyay,1
Azam Chaudhry,1
Shamyla Chaudhry,0
Shubham Chaudhuri,1
Keith Chauvin,1
Jean-Paul Chavas,1
Kenneth Y. Chay,1
Jiahua Che,1
Yeon-Koo Che,1
Bin Chen,1
Bo Chen,1
Chau-nan Chen,1
Daniel L. Chen,1
Jian Chen,0
Jiawei Chen,1
Jing Chen,0
Joseph Chen,1
Kaiji Chen,1
Linchun Chen,0
M. Keith Chen,1
Roy Chen,1
Shaohua Chen,1
Stacey H. Chen,0
Xiaohong Chen,0
Yan Chen,0
Yehning Chen,1
Yi-Chun Chen,1
Ying Chen,0
Yu Chen,0
Yu-Chin Chen,0
Yuyu Chen,1
Zengjing Chen,1
Zhijun Chen,1
Zhiwu Chen,1
Hollis B. Chenery,1
Benjamin Cheng,1
Hsueh-Cheng (Harrison) Cheng,1
Ing-Haw Cheng,1
Leonard K. Cheng,1
Xu Cheng,0
Laurens Cherchye,1
Victor Chernozhukov,1
Andrew Chesher,1
Francisco C. de la Chesnaye,1
Raj Chetty,1
V. K. Chetty,1
Stephen L. Cheung,1
Steven N.S. Cheung,1
Judith A. Chevalier,0
Jean-Michel Chevet,1
S. H. Chew,1
Pierre-André Chiappori,1
Siddhartha Chib,1
Graciela Chichilnisky,0
YiLi Chien,1
Alessandro Chiesa,1
Andrew Ching,1
Dennis L. Chinn,1
John S. Chipman,1
Tasneem Chipty,0
Daniel Chiquiar,1
Barry R. Chiswick,1
Vikas Chitre,1
W. Henry Chiu,1
Thorsten Chmura,1
In-Koo Cho,1
Jin Seo Cho,1
Gabriel Chodorow-Reich,1
Don H. Choi,1
E. Kwan Choi,1
Eleanor Jawon Choi,0
Horag Choi,1
James J. Choi,1
Jay Pil Choi,1
Syngjoo Choi,1
Yong-Seok Choi,1
Souphala Chomsisengphet,0
Philippe Choné,1
Juin-Kuan Chong,1
Kuan Chong,1
Eugene Choo,1
Davin Chor,1
Ehsan U. Choudhri,1
N. K. Choudhry,1
Gregory C. Chow,1
Bhagwan Chowdhry,1
Shyamal Chowdhury,1
Carl F. Christ,1
Nicholas A. Christakis,1
Laurits R. Christensen,1
Lawrence J. Christiano,1
Louis N. Christofides,1
Norbert Christopeit,1
C. Y. Cyrus Chu,1
Chenghuan Sean Chu,1
Chia-Shang James Chu,1
Leon Yang Chu,1
Zhikang Eric Chua,1
