,Name,Sex
670,Ayşe Imrohoroğlu,
671,Ayşe İmrohoroğlu,
672,Ayşegül Şahin,
673,Azam Chaudhry,1
674,Azeem M. Shaikh,1
675,Azriel Levy,
676,B. Caillaud,1
677,B. Curtis Eaton,1
678,B. Curtis Eaves,1
679,B. D. Bernheim,1
680,B. Douglas Bernheim,1
681,B. Grodal,0
682,B. Jullien,1
683,B. Mellon,1
684,B. P. Banerjee,1
685,B. Peleg,1
686,B. Peter Pashigian,1
687,B. Peter Rosendorff,1
688,B. Piedad Urdinola,0
689,B. Ravikumar,1
690,B. S. Yamey,1
691,B. Singer,1
692,B. T. McCallum,1
693,Babu Nahata,1
694,Badi H. Baltagi,1
695,Balazs Szentes,
696,Balvir Singh,1
697,Balázs Szentes,1
698,Barbara J. Mace,0
699,Barbara J. Spencer,
700,Barbara L. Wolfe,0
701,Barbara McCutcheon,0
702,Barbara Petrongolo,0
703,Barbara R. Bergmann,0
704,Barbara Rossi,0
705,Barrett E. Kirwan,1
706,Barry C. Field,1
707,Barry Falk,1
708,Barry McCormick,
709,Barry Nalebuff,1
710,Barry Naughton,1
711,Barry R. Chiswick,1
712,Barry R. Weingast,1
713,Barry Sopher,1
714,Barry W. Ickes,1
715,Bart Hobijn,1
716,Bart J. Bronnenberg,1
717,Bart J. Wilson,1
718,Bart Taub,1
719,Bartholomew J. Moore,
720,Barton A. Smith,
721,Barton H. Hamilton,1
722,Barton L. Lipman,1
723,Bartosz Maćkowiak,
724,Basant K. Kapur,1
725,Basit Zafar,
726,Bastiaan Oud,1
727,Bauke Visser,1
728,Behzad T. Diba,1
729,Bela Balassa,1
730,Ben Bernanke,1
731,Ben Branch,
732,Ben Craig,1
733,Ben Greiner,1
734,Ben Groom,1
735,Ben Handel,
736,Ben Lockwood,1
737,Ben Polak,1
738,Ben S. Bernanke,1
739,Benedikt Herrmann,1
740,Benedikt M. Pötscher,1
741,Bengt Holmstrom,1
742,Bengt Holmström,1
743,Benjamin A. Malin,1
744,Benjamin A. Olken,1
745,Benjamin Bental,1
746,Benjamin Brooks,1
747,Benjamin Cheng,1
748,Benjamin Conlee,1
749,Benjamin E. Hermalin,1
750,Benjamin Edelman,1
751,Benjamin Eden,1
752,Benjamin F. Jones,1
753,Benjamin Faber,
754,Benjamin Feigenberg,
755,Benjamin Golub,1
756,Benjamin Handel,1
757,Benjamin I. Cohen,1
758,Benjamin J. Cohen,
759,Benjamin J. Keys,1
760,Benjamin Klein,1
761,Benjamin Lester,1
762,Benjamin M. Friedman,1
763,Benjamin M. Sand,1
764,Benjamin Moll,1
765,Benjamin N. Roin,1
766,Benjamin Sand,1
767,Benjamin Sexauer,
768,Benjamin Van Roy,1
769,Benn Eifert,1
770,Bennett Harrison,1
771,Bennett T. McCallum,1
772,Benny D. Bowers,1
773,Benny Moldovanu,1
774,Bent E. Sørensen,1
775,Bent Hansen,
776,Benton F. Massell,1
777,Benyamin Shitovitz,1
778,Berk Özler,
779,Bernard Caillaud,1
780,Bernard Cornet,1
781,Bernard Fortin,1
782,Bernard Salanie,1
783,Bernard Salanié,1
784,Bernard van Praag,1
785,Bernardino Adão,
786,Bernardo S. Blum,
787,Bernardo S. Da Silveira,
788,Bernd Irlenbusch,1
789,Bernhard von Stengel,
790,Bernt P. Stigum,1
791,Bert M. Balk,1
792,Berta Esteve-Volart,
793,Berthold Herrendorf,1
794,Bertil Tungodden,1
795,Bertrand Rime,1
796,Beth Allen,0
797,Betsey Stevenson,0
798,Bev Dahlby,0
799,Bezalel Peleg,1
800,Bhagwan Chowdhry,1
801,Bhashkar Mazumder,1
802,Bhaskar Dutta,1
803,Bhu Dev Sharma,1
804,Bianca L. De Stavola,0
805,Bijan B. Aghevli,1
806,Bilge Yilmaz,0
807,Bilge Yılmaz,1
808,Bill Dupor,1
809,Bill M. Woodland,1
810,Bill Wright,1
811,Bin Chen,1
812,Bing Han,
813,Binzhen Wu,0
814,Birger Wernerfelt,1
815,Birgit Grodal,0
816,Birgit Heydenreich,0
817,Björn Bartling,1
818,Björn Tyrefors Hinnerich,1
819,Björn Wallace,1
820,Björn Öckert,
821,Blaine Roberts,1
822,Blaise Melly,1
823,Bo Axell,1
824,Bo Cowgill,1
825,Bo E. Honor,
826,Bo E. Honoré,1
827,Botond Köszegi,
828,Botond Kőszegi,1
829,Boyan Jovanovic,1
830,Brad M. Barber,1
831,Bradford Cornell,1
832,Bradyn Breon-Drish,
833,Bram De Rock,1
834,Bram Thuysbaert,1
835,Bram de Rock,
836,Brandice Canes-Wrone,0
837,Branko Urošević,1
838,Brendan Daley,1
839,Brendan K. Beare,1
840,Brendan Lucier,1
841,Brendan O’Flaherty,1
842,Brendan Price,1
843,Brendon McConnell,1
844,Breno Braga,1
845,Brent Neiman,1
846,Brent Sohngen,
847,Brett Gordon,1
848,Brett Green,1
849,Brett J. Noel,
850,Brett R. Gordon,1
851,Brian A. Jacob,1
852,Brian Blackburn,1
853,Brian Bowen,1
854,Brian D. Wright,1
855,Brian Frantz,1
856,Brian Hill,1
857,Brian Hillier,1
858,Brian J. Hall,1
859,Brian K. Kovak,1
860,Brian Knight,1
861,Brian L. Bentick,1
862,Brian Mcmanus,
863,Brian Merlob,1
864,Brian P. McCall,1
865,Brian Pinto,
866,Brian R. Copeland,1
867,Brian Sack,1
868,Brian T. Melzer,1
869,Brian W. Rogers,1
870,Brian Wallace,1
871,Bridger M. Mitchell,1
872,Bridget Terry Long,0
873,Brigitte C. Madrian,0
874,Bronwyn H. Hall,0
875,Brook S. Payner,1
876,Brooks Pierce,1
877,Bruce A. Blonigen,1
878,Bruce A. Weinberg,1
879,Bruce Bender,1
880,Bruce C. Cohen,
881,Bruce C. Dieffenbach,1
882,Bruce C. Greenwald,1
883,Bruce C. Petersen,1
884,Bruce Champ,1
885,Bruce D. Meyer,1
886,Bruce D. Smith,1
887,Bruce E. Hansen,1
888,Bruce I. Sacerdote,1
889,Bruce L. Gardner,1
890,Bruce L. Miller,1
891,Bruce M. Wetzel,1
892,Bruce N. Lehmann,1
893,Bruce Owen,
894,Bruce Preston,1
895,Bruce Rhodes,1
